Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
eunicoast_integration,project_proposal,,checkbox,The integration of my project in EUNICoast Hubs,"1, Identities, Local Knowledge, and Cultural Heritage in Islands & Coastal Communities | 2, Blue Circular Economy, Port Logistics, and Sustainable Blue Tourism | 3, Governance, Planning, Management, and Monitoring of Islands and Coastal Communities | 4, Health, Biodiversity Protection, Nature-based Solutions, and Sustainable Exploration of Coastal/Marine Resources | 5, Engineered and Data-driven Solutions for Coastal Infrastructures, Marine Renewable Energy, Marine Safety, and Navigation Systems",,,,,,,y,,,,,"@DESCRIPTION=""EUNICoast Alliance research hubs integration"""
topic_help,project_proposal,"Describe the topic associated to ""[acronym]""",descriptive,"<div class=""rich-text-field-label""><p data-start=""765"" data-end=""1045""><span style=""font-weight: normal;""><strong data-start=""765"" data-end=""805"">Need help choosing my keywords?</strong></span><br data-start=""805"" data-end=""808""><em><span style=""font-weight: normal;"">I can consult the list of standardized research topics used in the OpenAlex database.</span></em><br data-start=""895"" data-end=""898""><em><span style=""font-weight: normal;"">This list includes disciplines and sub-disciplines (from level 0 to 3) to help me choose the <strong data-start=""992"" data-end=""1018"">most relevant concepts</strong> for my upcoming project.</span></em></p> <p data-start=""1083"" data-end=""1296""><em><span style=""font-weight: normal;"">💡 <strong data-start=""1086"" data-end=""1094"">Tip:</strong> Try to pick keywords that best reflect the <strong data-start=""1138"" data-end=""1153"">core themes </strong>or <strong data-start=""1171"" data-end=""1187"">applications</strong> of my project. I may use multiple levels for greater precision. I'll be able to add the method on the next section. </span></em></p></div>",,,,,,,,,,,,,
topic,project_proposal,,sql,I choose my main topic,"select record, value from [data-table:52] where field_name = 'topic' order by value",Type 3-5 letters and wait for a topic list,autocomplete,,,,,y,,,,,
keywords_count,project_proposal,,radio,How many keywords do I need?,"1, One | 2, Two | 3, Three",,,,,,,y,,,,,
keyword1,project_proposal,,sql,My first keyword,"select record, value from [data-table:54] where field_name = 'keyword' order by value",Type 3-5 letters and wait for a topic list,autocomplete,,,,[keywords_count] = '1' or [keywords_count] = '2' or [keywords_count] = '3',y,,,,,
keyword2,project_proposal,,sql,My second keyword,"select record, value from [data-table:54] where field_name = 'keyword' order by value",Type 3-5 letters and wait for a topic list,autocomplete,,,,[keywords_count] = '2' or [keywords_count] = '3',y,,,,,
keyword3,project_proposal,,sql,My third keyword,"select record, value from [data-table:54] where field_name = 'keyword' order by value",Type 3-5 letters and wait for a topic list,autocomplete,,,,[keywords_count] = '3',y,,,,,
methods_help,project_proposal,"Which methods (3 at most) will you apply to ""[acronym]""?",descriptive,"<div class=""rich-text-field-label""><p data-start=""129"" data-end=""172"">Need help describing your methods?</p> <p data-start=""173"" data-end=""383""><em><span style=""font-weight: normal;"">In this section, I indicate my <strong data-start=""220"" data-end=""247"">main scientific methods</strong> my project will rely on.</span></em><br data-start=""274"" data-end=""277""><em><span style=""font-weight: normal;"">I can describe <strong data-start=""294"" data-end=""307"">technical</strong>, <strong data-start=""309"" data-end=""323"">analytical</strong>, or <strong data-start=""328"" data-end=""342"">conceptual</strong> approaches depending on my discipline.</span></em></p> <p data-start=""639"" data-end=""856""><em><span style=""font-weight: normal;"">I may list <strong data-start=""652"" data-end=""678"">one or three methods</strong>, depending on my project. </span><span style=""font-weight: normal;"">There is <strong data-start=""718"" data-end=""750"">no need to justify or detail</strong> how they will be used - this is just to help us improve project matching and collaboration opportunities.</span></em></p></div>",,,,,,,,,,,,,
methods_count,project_proposal,,radio,How many methods will I use?,"1, One | 2, Two | 3, Three",,,,,,,y,,,,,
method1,project_proposal,,sql,My first method,"select record, value from [data-table:52] where field_name = 'topic' order by value",Type 3-5 letters and wait for a topic list,autocomplete,,,,[methods_count] = '1' or [methods_count] = '2' or [methods_count] = '3',y,,,,,
method2,project_proposal,,sql,My second method,"select record, value from [data-table:52] where field_name = 'topic' order by value",Type 3-5 letters and wait for a topic list,autocomplete,,,,[methods_count] = '2' or [methods_count] = '3',y,,,,,
method3,project_proposal,,sql,My third method,"select record, value from [data-table:52] where field_name = 'topic' order by value",Type 3-5 letters and wait for a topic list,autocomplete,,,,[methods_count] = '3',y,,,,,
regions_count,project_proposal,"Is ""[acronym]"" dedicated to a specific geographical zone?",radio,"<div class=""rich-text-field-label""><p>Does my project apply to specific geographical regions?</p> <p><em><span style=""font-weight: normal;"">This information will help us better contextualize your project and identify potential overlaps with other researchers.</span></em></p></div>","0, None | 1, One | 2, Two | 3, Three",,,,,,,y,,,,,
region1,project_proposal,,sql,"<div class=""rich-text-field-label""><p>My first region</p> <p><em><span style=""font-weight: normal;"">A geographical area(s) relevant to my upcoming project, from a curated list including countries, oceans, seas, straits, major islands, and key maritime locations.</span></em></p></div>","select record, value from [data-table:129] where field_name = 'region' order by value",Type 3-5 letters and wait for a topic list,autocomplete,,,,[regions_count] = '1' or [regions_count] = '2' or [regions_count] = '3',y,,,,,
region2,project_proposal,,sql,My second region,"select record, value from [data-table:129] where field_name = 'region' order by value",Type 3-5 letters and wait for a topic list,autocomplete,,,,[regions_count] = '2' or [regions_count] = '3',y,,,,,
region3,project_proposal,,sql,My third region,"select record, value from [data-table:129] where field_name = 'region' order by value",Type 3-5 letters and wait for a topic list,autocomplete,,,,[regions_count] = '3',y,,,,,
papers_count,project_proposal,"Previous works related to ""[acronym]""",radio,How many related papers have I published?,"0, None | 1, One | 2, Two | 3, Three or more",,,,,,,y,,,,,
paper1,project_proposal,,file,"<div class=""rich-text-field-label""><p>My first paper</p> <p><em><span style=""font-weight: normal;"">I upload the PDF file of my paper</span></em></p></div>",,,,,,,[papers_count] = '1' or [papers_count] = '2' or [papers_count] = '3',y,,,,,
paper2,project_proposal,,file,"<div class=""rich-text-field-label""><p>My second paper</p> <p><span style=""font-weight: normal;""><em>I upload the PDF file of my paper</em></span></p></div>",,,,,,,[papers_count] = '2' or [papers_count] = '3',y,,,,,
paper3,project_proposal,,file,"<div class=""rich-text-field-label""><p>My third paper</p> <p><span style=""font-weight: normal;""><em>I upload the PDF file of my paper</em></span></p></div>",,,,,,,[papers_count] = '3',y,,,,,
project_proposal_identification_level,project_proposal,My consent,radio,How would I like my data to appear?,"1, Identifiable (my name visible) | 2, Pseudonymised (an identifier replaces my name) | 3, Anonymised (no link to me possible) | 4, Aggregated only (global statistics)",,,,,,,y,,,,,
project_proposal_data_audience,project_proposal,,radio,Who can access my data?,"1, General public | 2, Authenticated researchers only",,,,,,[project_proposal_identification_level] <> '4' AND [project_proposal_identification_level] <> '',y,,,,,
oa_imported_at,openalex,,text,Imported at,,,datetime_seconds_ymd,2026-03-31 00:00:00,now,,,,,,,,
oa_locked_at,openalex,,text,Locked at,,,datetime_seconds_ymd,2026-03-31 00:00:00,now,,,,,,,,
oa_data,openalex,,file,OpenAlex downloaded data,,,,,,,,,,,,,
oa_pdf,openalex,,file,Log file,,,,,,,,,,,,,
