Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
invite_etablissement_autre,form,,text,Quelle université ?,,,,,,,[invite_etablissement]=3 OR [invite_etablissement]=4,y,,,,,
invite_fonction,form,,text,"<div class=""rich-text-field-label""><p>Statut / fonction </p></div>",,,,,,,[mobilite_type]=1 OR [demandeur_statut]=2,y,LH,,,,
invite_specialite,form,,text,"<div class=""rich-text-field-label""><p>Discipline / spécialité </p></div>",,,,,,,[mobilite_type]=1 OR [demandeur_statut]=2,y,LH,,,,
invite_diplome_max,form,,text,"<div class=""rich-text-field-label""><p>Plus haut diplôme obtenu </p></div>",,,,,,,[mobilite_type]=1 OR [demandeur_statut]=2,y,LH,,,,
invitation_projet_recherche,form,,notes,"<div class=""rich-text-field-label""><p>Projet d'activité de recherche au sein du laboratoire d'accueil (20 lignes maximum).</p> <p><em><span style=""font-weight: normal;"">Précisez notamment :</span></em></p> <ul> <li><em><span style=""font-weight: normal;"">Le ou les séminaire(s) de recherche prévus et quels publics sont concernés,</span></em></li> <li><em><span style=""font-weight: normal;"">Les intentions de publications communes si elles existent, </span></em></li> <li><em><span style=""font-weight: normal;"">Les intentions de dépôts de projets et / ou de thèses en convention de co-tutelle.</span></em></li> </ul></div>",,,,,,,[invitation_type]=1 or [invitation_type]=3,y,LH,,,,
laboratoire_historique_invitations,form,,yesno,"<div class=""rich-text-field-label""><p>Le laboratoire a-t-il mené une politique d'invitation de chercheurs visitants en 2024 et 2025 ?</p></div>",,,,,,,[invitation_type]=1 or [invitation_type]=3,y,LH,,,,
laboratoire_invitations_details,form,,notes,"<div class=""rich-text-field-label""><p>Quels chercheurs ont été reçus, leur établissement et pays d'origine ?<br><em><span style=""font-weight: normal;"">Préciser les invitations financées par les laboratoires et celles financées par le programme Mobilité Normandie Sup.</span></em></p></div>",,,,,,,[laboratoire_historique_invitations]=1,y,LH,,,,
laboratoire_invitations_2025,form,,yesno,Avez-vous d'ores et déjà programmé la venue de visitants pour 2026 sur les ressources du laboratoire ?,,,,,,,[invitation_type]=1 or [invitation_type]=3,y,LH,,,,
laboratoire_invitations_2025_details,form,,notes,Précisez ,,,,,,,[laboratoire_invitations_2025]=1,y,LH,,,,
invitation_interet_laboratoire,form,,notes,"<div class=""rich-text-field-label""><p>Intérêt de l'invitation pour la politique du laboratoire <br><span style=""font-weight: normal;""><em>(20 lignes maximum)</em></span></p></div>",,,,,,,[invitation_type]=1 or [invitation_type]=3,y,LH,,,,
enseignement_composante,form,,dropdown,Dans quelle composante l'invité va-t-il donner des cours ?,"1, AI|2, LSH|3, ST|4, ISEL|5, IUT",,,,,,[invitation_type]=2 or [invitation_type]=3 OR [demandeur_statut]=2,y,,,,,
composante_directeur_courriel,form,,text,"<div class=""rich-text-field-label""><p>Saisissez l'email du directeur de composante<br><em><span style=""font-weight: normal;"">Attention : un e-mail sera automatiquement envoyé à l'encadrant pour visa et avis. Vérifiez l'adresse avant de valider.</span></em></p></div>",,,email,,,,[invitation_type]=2 OR [invitation_type]=3 OR [demandeur_statut]=2,y,,,,,
heure_enseignement,form,,text,Nombre d'heures (ETD) ,,,number,0,300,,[invitation_type]=2 OR [invitation_type]=3 OR [demandeur_statut]=2,y,,,,,
enseignement_projet_pedagogique,form,,notes,"<div class=""rich-text-field-label""><p>Projet pédagogique au sein des formations de la composante (20 lignes maximum). <br><em><span style=""font-weight: normal;"">Les heures de cours seront rémunérées sous forme de vacations d'enseignement</span></em></p></div>",,,,,,,[invitation_type]=2 OR [invitation_type]=3 OR [demandeur_statut]=2,y,LH,,,,
enseignement_interet_composante,form,,notes,"<div class=""rich-text-field-label""><p>Intérêt du projet pour la composante d'enseignement <br><em><span style=""font-weight: normal;"">(20 lignes maximum)</span></em></p></div>",,,,,,,[invitation_type]=2 OR [invitation_type]=3 OR [demandeur_statut]=2,y,LH,,,,
mobilite_interet_etablissement,form,,notes,"<div class=""rich-text-field-label""><p>Intérêt pour l'établissement en lien avec sa politique internationale (20 lignes maximum) <br><em><span style=""font-weight: normal;"">Le projet doit s'inscrire dans au moins une des thématiques prioritaires de l'établissement :</span></em></p> <ul> <li style=""font-style: italic;""><em><span style=""font-weight: normal;"">Ville de demain </span></em></li> <li style=""font-style: italic;""><em><span style=""font-weight: normal;"">Transitions risques et aléas </span></em></li> <li style=""font-style: italic;""><em><span style=""font-weight: normal;"">Enjeux maritimes et portuaires</span></em></li> </ul> <p><em><span style=""font-weight: normal;"">Une attention particulière sera portée aux projets répondant aux autres objectifs du projet d'établissement : insertion ou animation des réseaux GU8 ; EUNICoast/Alliance Européenne ; Campus Eurasiatique ; objectifs du PIA ExcellencES ; Polycampus LH 2030 ou autres Normandie SUP...</span></em></p></div>",,,,,,,[invitation_type]=2 OR [invitation_type]=3 OR [demandeur_statut]=2,y,LH,,,,
mobilite_historique_financements,form,"<div class=""rich-text-field-label""><p>Faire un séjour de recherche hors de l'UAT</p> <p><em><span style=""font-weight: normal;"">Pour toute mobilité Erasmus+ à visée uniquement pédagogique (hors recherche), </span></em><em><span style=""font-weight: normal;"">merci de contacter la DRI : <span style=""color: #ecf0f1;""><a class=""decorated-link cursor-pointer"" style=""color: #ecf0f1;"" href=""mailto:contact@test.example.org"" data-start=""633"" data-end=""652"">contact@test.example.org</a></span></span></em></p></div>",yesno,"<div class=""rich-text-field-label""><p>Avez-vous déjà bénéficié d'un financement de mobilité durant les 5 dernières années ?</p></div>",,,,,,,[mobilite_type]=2 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,y,LH,,,,
mobilite_financements_details,form,,notes,"<div class=""rich-text-field-label""><p>Sur quel dispositif (type d'appel à projets ou autre support) avez-vous obtenu ce financement, en quelle année, vers quelle destination/structure, et pour quel montant ?</p></div>",,,,,,,[mobilite_historique_financements]=1,y,LH,,,,
mobilite_destination_categorie,form,,dropdown,"<div class=""rich-text-field-label""><p>Quelle est la destination de votre séjour ?</p> <p><em><span style=""font-weight: normal;"">Pour consulter la liste des partenaires :</span></em><i></i></p> <ul> <li><i><a href=""https://eunicoast.eu/#section-partners"" target=""_blank"" rel=""noopener""><span style=""text-decoration: underline;""><span style=""font-weight: normal;"">Universités EUNICoast</span></span></a></i></li> <li><span style=""font-weight: normal;""><a href=""https://www.univ-lehavre.fr/fr/international/les-reseaux-les-programmes-et-accords-internationaux/le-consortium-gu8/"" target=""_blank"" rel=""noopener""><span style=""text-decoration: underline;""><i>Universités GU8</i></span></a><i></i></span></li> </ul> <p><span style=""font-weight: normal;""><i>L'aire géographique Europe comprend les 27 Etats membres de l'UE et 6 pays tiers associés au programme (Islande, Liechtenstein, Serbie, Macédoine du Nord, Norvège, Turquie).</i></span></p></div>","1, Un laboratoire affilié à une université d'EUNICoast | 2, Un laboratoire affilié à une université du GU8 | 3, Un laboratoire affilié à une université européenne hors EUNICoast | 4, Un laboratoire affilié à une université internationale hors Europe et GU8",,,,,,[mobilite_type]=2 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,y,LH,,,,
mobilite_universite_eunicoast,form,,dropdown,Quelle université d'EUNICoast ?,"I290569820, Åland University of Applied Sciences (AUAS)|I31072267, Burgas Free University (BFU)|I4210135109, Euro Mediterranean University (EMUNI)|I52585520, Université des Antilles (UA)|I159650629, University of Sassari (UNISS)|I115891769, Universidade dos Açores (UAC)|I50441567, Universitat de les Illes Balears (UIB)|I180629606, University of Dubrovnik (UNIDU)|I174878644, University of Patras (UPATRAS)|I4210148663, University of Applied Sciences Stralsund (HOST)|I155313962, West Pomeranian University of Technology (ZUT)|I103146751, University of the Faroe Islands (UFI)",,,,,,[mobilite_destination_categorie]=1,y,,,,,
mobilite_universite_gu8,form,,dropdown,Quelle université GU8 ?,"9, Université de Inha à Incheon, Corée du sud|10, Université de Xiamen, Chine|11, Université de Hull, Royaume-Uni|12, UNIFOR à Fortaleza, Brésil|13, Université Otto Von Guericke à Magdebourg, Allemagne|14, Université de Perlis, Malaisie",,,,,,[mobilite_destination_categorie]=2,y,,,,,
mobilite_universite_autre,form,,text,Quelle université ?,,,,,,,[mobilite_destination_categorie]=3 OR [mobilite_destination_categorie]=4,y,,,,,
mobilite_laboratoire_accueil,form,,notes,"<div class=""rich-text-field-label""><p>Dans quel laboratoire, département ou composante allez-vous ?<br><span style=""font-weight: normal;""><em>Nom du labo/équipe d'accueil, responsable, adresse, site web...</em></span></p></div>",,,,,,,[mobilite_type]=2 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,y,LH,,,,
mobilite_lettre_invitation,form,,file,"<div class=""rich-text-field-label""><p>Lettre d'invitation de l'établissement d'accueil<br><span style=""font-weight: normal;"">Merci d'importer une lettre d'invitation officielle sur papier à en-tête de l'établissement d'accueil, datée, tamponnée et signée, mentionnant impérativement :</span></p> <ul> <li><span style=""font-weight: normal;"">Votre identité et qualité (nom, prénom, statut/fonction à l'UAT) ;</span></li> <li><span style=""font-weight: normal;"">L'établissement/labo d'accueil (nom de l'unité, responsable) ;</span></li> <li><span style=""font-weight: normal;"">La période et la durée du séjour (dates de début et fin, ou durée totale) ;</span></li> <li><span style=""font-weight: normal;"">L'objet et la raison de la venue (recherche/enseignement, activités prévues) ;</span></li> <li><span style=""font-weight: normal;"">Le cas échéant, engagements logistiques/financiers de l'hôte (si pertinent).</span></li> <li><span style=""font-weight: normal;"">Format PDF</span></li> </ul></div>",,,,,,,[mobilite_type]=2 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,y,LH,,,,
mobilite_duree_jours,form,,text,"<div class=""rich-text-field-label""><p>Quelle sera la durée de votre séjour ?<br><em><span style=""font-weight: normal;"">(en jours calendaires)</span></em></p></div>",,,number,,,,[mobilite_type]=2 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,y,LH,,,,
mobilite_dates_envisagees,form,,notes,"<div class=""rich-text-field-label""><p>Dates envisagées<br><span style=""font-weight: normal;""><em>Compatible avec vos obligations d'enseignement/encadrement à l'UAT.</em></span></p></div>",,,,,,,[mobilite_type]=2 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,y,LH,,,,
mobilite_objectifs_scientifiques,form,,notes,"<div class=""rich-text-field-label""><p>Objectifs et plus-value scientifique (20 lignes max)<br><span style=""font-weight: normal;"">Qu'allez-vous faire pendant la mobilité et quelle est la plus-value par rapport à l'UAT (accès plateformes, terrain, données, expertises, co-supervisions...) ?</span><br><em><span style=""font-weight: normal;"">Ex. : accès à la plateforme X pour imagerie cryo-EM, collecte terrain Y, atelier méthodes Z...</span></em></p></div>",,,,,,,[mobilite_type]=2 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,y,LH,,,,
mobilite_activites_prevues,form,,notes,"<div class=""rich-text-field-label""><p>Activités prévues chez l'hôte (15 lignes max)<br><em><span style=""font-weight: normal;"">Précisez les séminaires/conférences que vous donnerez (titres, publics), les réunions de travail, expérimentations, terrains, et les personnes impliquées côté hôte.</span></em></p></div>",,,,,,,[mobilite_type]=2 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,y,LH,,,,
mobilite_livrables_calendrier,form,,notes,"<div class=""rich-text-field-label""><p>Livrables et calendrier (10 lignes max)<br><em><span style=""font-weight: normal;"">Indiquez ce qui sera produit et quand : préprint/article, dépôt ANR/Europe, protocole commun, jeu de données partagé, cotutelle envisagée.</span></em></p></div>",,,,,,,[mobilite_type]=2 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,y,LH,,,,
mobilite_retombees_UAT,form,,notes,"<div class=""rich-text-field-label""><p>Retombées attendues pour l'UAT (15 lignes max)<br><em><span style=""font-weight: normal;"">Compétences rapatriées, méthodos transférées, réseau élargi, accès durable à une infrastructure, perspectives de projets communs 6-12 mois après le retour.</span></em></p></div>",,,,,,,[mobilite_type]=2 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,y,LH,,,,
mobilite_alignement_strategique,form,,notes,"<div class=""rich-text-field-label""><p>Partenariat et alignement stratégique (10 lignes max)<br><em><span style=""font-weight: normal;"">En quoi la mobilité renforce-t-elle les priorités UAT (Ville de demain, Transitions risques, Enjeux maritimes & portuaires) et les réseaux (GU8, EUNICoast/Alliance européenne, Campus Eurasiatique, ExcellencES Polycampus LH 2030, Normandie SUP...) ?</span></em></p></div>",,,,,,,[mobilite_type]=2 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,y,LH,,,,
mobilite_enseignement_prevu,form,,yesno,"<div class=""rich-text-field-label""><p>Allez-vous donner des cours sur place ?</p></div>",,,,,,,[mobilite_type]=2 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,y,LH,,,,
mobilite_projet_pedagogique_hote,form,,notes,"<div class=""rich-text-field-label""><p>Projet pédagogique prévu chez l'hôte (10 lignes max)<br><em><span style=""font-weight: normal;"">Intitulés publics visés, modalités de reconnaissance à l'UAT (équivalences, valorisation).</span></em></p></div>",,,,,,,[mobilite_enseignement_prevu]=1,y,LH,,,,
mobilite_volume_horaire,form,,text,"<div class=""rich-text-field-label""><p>Volume horaire (en heures)<br><em><span style=""font-weight: normal;"">Rappel : les heures extérieures ne sont pas rémunérées par UAT, sauf cadre spécifique.</span></em></p></div>",,,number,,,,[mobilite_enseignement_prevu]=1,y,LH,,,,
mobilite_interet_pedagogique_UAT,form,,notes,"<div class=""rich-text-field-label""><p>Intérêt pour les composantes UAT (10 lignes max)<br><em><span style=""font-weight: normal;"">Comment ces enseignements bénéficieront-ils aux maquettes/cursus UAT au retour (ressources, cours mutualisés, double diplôme, COIL, etc.) ?</span></em></p></div>",,,,,,,[mobilite_enseignement_prevu]=1,y,LH,,,,
avis_composante_demandeur,demandeur_composante,,descriptive,"<div class=""rich-text-field-label""><p>Nom de l'enseignant qui formule la demande : <span style=""font-weight: normal;"">[demandeur_prenom] [demandeur_nom]</span></p></div>",,,,,,,,,,,,,
avis_composante_recapitulatif_invite,demandeur_composante,Informations sur le chercheur invité,descriptive,"<div class=""rich-text-field-label""><p>Nom du chercheur invité : <span style=""font-weight: normal;"">[invite_nom]</span><br>Nationalité : <span style=""font-weight: normal;"">[invite_nationalite]</span><br>Etablissement d'exercice :<span style=""font-weight: normal;""> [invite_etablissement]</span><br>Statut / fonction : <span style=""font-weight: normal;"">[invite_fonction]</span><br>Discipline / spécialité : <span style=""font-weight: normal;"">[invite_specialite]</span><br>Plus haut diplôme obtenu : <span style=""font-weight: normal;"">[diplôme]</span><br>Période d'invitation : <span style=""font-weight: normal;"">[invitation_periode]</span><br>Durée d'invitation : <span style=""font-weight: normal;"">[invitation_duree_jours]</span><br>Projet pédagogique au sein des formations de la composante :<br><span style=""font-weight: normal;"">[enseignement_projet_pedagogique]</span><br>Intérêt du projet pour la composante d'enseignement :<br><span style=""font-weight: normal;"">[enseignement_interet_composante]</span><br>Intérêt pour l'établissement en lien avec sa politique internationale :<br><span style=""font-weight: normal;"">[mobilite_interet_etablissement]</span></p></div>",,,,,,,,,,,,,
avis_composante_directeur_nom,demandeur_composante,Avis - Direction de composante,text,Prénom et nom du directeur de composante :,,,,,,,,y,LH,,,,
avis_composante_position,demandeur_composante,,dropdown,Position de la direction de composante,"1, Favorable|2, Favorable sous réserve|3, Défavorable",,,,,,,y,,,,,
avis_composante_motivation,demandeur_composante,,notes,"<div class=""rich-text-field-label""><p>Motivation de l'avis<br><em><span style=""font-weight: normal;"">Merci de préciser les éléments pris en compte (cohérence avec la stratégie de la composante, adéquation du projet avec le parcours/la mission).</span></em></p></div>",,,,,,,,y,LH,,,,
avis_composante_signature,demandeur_composante,,file,,,,signature,,,,,y,LH,,,,
avis_laboratoire_demandeur,labo,,descriptive,"<div class=""rich-text-field-label""><p>Nom du chercheur qui formule la demande : <span style=""font-weight: normal;"">[demandeur_prenom] [demandeur_nom]</span></p></div>",,,,,,,,,,,,,
avis_laboratoire_recapitulatif_invite,labo,Informations sur le chercheur invité,descriptive,"<div class=""rich-text-field-label""><p>Nom du chercheur invité : <span style=""font-weight: normal;"">[invite_nom]</span><br>Nationalité : <span style=""font-weight: normal;"">[invite_nationalite]</span><br>Etablissement d'exercice : <span style=""font-weight: normal;"">[invite_etablissement]</span><br>Statut / fonction : <span style=""font-weight: normal;"">[invite_fonction]</span><br>Discipline / spécialité : <span style=""font-weight: normal;"">[invite_specialite]</span><br>Plus haut diplôme obtenu :<span style=""font-weight: normal;""> [diplôme]</span><br>Période d'invitation : <span style=""font-weight: normal;"">[invitation_periode]</span><br>Durée d'invitation : <span style=""font-weight: normal;"">[invitation_duree_jours]</span><br>Projet d'activité de recherche au sein du laboratoire d'accueil : <br><span style=""font-weight: normal;"">[invitation_projet_recherche]</span><br>Le laboratoire a-t-il mené une politique d'invitation de chercheurs visitants en 2023 et 2024 ? : <span style=""font-weight: normal;"">[laboratoire_historique_invitations]</span><br>Quels chercheurs ont été reçus, leur établissement et pays d'origine ? : <span style=""font-weight: normal;"">[laboratoire_invitations_details]</span><br>La venue de visitants pour 2026 est-elle programmée sur les ressources du laboratoire ? : <span style=""font-weight: normal;"">[laboratoire_invitations_2025]</span><br>Précisez : <span style=""font-weight: normal;"">[laboratoire_invitations_2025_details]</span><br>Intérêt de l'invitation pour la politique du laboratoire : <br><span style=""font-weight: normal;"">[invitation_interet_laboratoire]</span><br><br></p></div>",,,,,,,[mobilite_type]=1,,,,,,
avis_laboratoire_recapitulatif_mobilite,labo,Informations sur le voyage,descriptive,"<div class=""rich-text-field-label""><p>Est-ce que vous avez déjà bénéficier d'un financement de mobilité dans les 5 dernières année ? : <span style=""font-weight: normal;"">[mobilite_historique_financements]</span><br>Sur quel dispositif (type d'appel à projets ou autre support) avez vous obtenu ce financement, en quelle année, vers quelle destination/structure, et pour quel montant ? : <span style=""font-weight: normal;"">[mobilite_financements_details]</span><br>Quelle est la destination de votre séjour ? : <span style=""font-weight: normal;"">[mobilite_destination_categorie]</span><br>Quelle université ? : <span style=""font-weight: normal;"">[mobilite_universite_eunicoast] [mobilite_universite_gu8] [mobilite_universite_autre] </span><br>Dans quel laboratoire, département ou composante allez-vous ? : <span style=""font-weight: normal;"">[mobilite_laboratoire_accueil]</span><br>Quelle sera la durée de votre séjour ? : <span style=""font-weight: normal;"">[mobilite_duree_jours]</span><br>Dates envisagées : <span style=""font-weight: normal;"">[mobilite_dates_envisagees]</span><br>Objectifs et plus-value scientifique : <br><span style=""font-weight: normal;"">[mobilite_objectifs_scientifiques]</span><br>Activités prévues chez l'hôte :<br><span style=""font-weight: normal;"">[mobilite_activites_prevues]</span><br>Livrables et calendrier :<br><span style=""font-weight: normal;"">[mobilite_livrables_calendrier]</span> <br>Retombées attendues pour l'UAT :<br><span style=""font-weight: normal;"">[mobilite_retombees_UAT]</span> <br>Partenariat et alignement stratégique :<br><span style=""font-weight: normal;"">[mobilite_alignement_strategique]</span><br>Allez vous donner des cours sur place ? : <span style=""font-weight: normal;"">[mobilite_enseignement_prevu]</span><br>Projet pédagogique prévu chez l'hôte : <span style=""font-weight: normal;"">[mobilite_projet_pedagogique_hote]</span><br>Intérêt pour les composantes UAT :<span style=""font-weight: normal;""> [mobilite_interet_pedagogique_UAT]</span></p></div>",,,,,,,[mobilite_type]=2 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,,,,,,
avis_laboratoire_directeur_nom,labo,Avis - Direction du laboratoire,text,Prénom et nom du directeur du laboratoire :,,,,,,,,y,LH,,,,
avis_laboratoire_position,labo,,dropdown,Position de la direction de laboratoire,"1, Favorable|2, Favorable sous réserve|3, Défavorable",,,,,,,y,,,,,
avis_laboratoire_motivation,labo,,notes,"<div class=""rich-text-field-label""><p>Motivation de l'avis<br><em><span style=""font-weight: normal;"">Merci de préciser les éléments pris en compte (cohérence avec la stratégie du laboratoire, adéquation du projet avec le parcours/la mission).</span></em></p></div>",,,,,,,,y,LH,,,,
avis_laboratoire_signature,labo,,file,,,,signature,,,,,y,LH,,,,
avis_encadrant_demandeur,encadrant,,descriptive,"<div class=""rich-text-field-label""><p>Nom du chercheur qui formule la demande : <span style=""font-weight: normal;"">[demandeur_prenom] [demandeur_nom]</span></p></div>",,,,,,,,,,,,,
